id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
446173,L'Homme des hautes plaines,1973-04-19,739,2680,88,1107,7,14,24,84,239,695,2099,1872,510,150
446737,Vipère au poing,2004-10-06,594,538,29,353,43,58,170,431,1065,1834,1404,538,104,57
422871,Vivre et laisser mourir,1973-06-27,604,726,83,994,22,57,152,435,1080,1968,1430,443,75,46
390241,"Anaconda, le prédateur",1997-04-11,397,324,45,499,433,861,1199,1151,1077,652,246,67,17,14
490375,"Karate Kid, le moment de vérité",1984-06-22,628,726,57,748,38,55,144,319,860,1693,1683,677,153,95
488628,Bienvenue à bord,2011-10-05,419,217,88,448,411,619,906,1122,1087,941,466,113,33,23
475225,Légendes vivantes,2013-12-18,672,1853,62,731,28,54,125,218,482,1283,2023,1165,269,75
416307,Hostel : Chapitre II,2007-06-07,523,589,69,605,187,304,491,855,1280,1314,863,317,81,32
415024,Agathe Cléry,2008-12-03,325,263,54,429,1158,1109,1026,897,733,519,204,60,16,4
391401,Away We Go,2009-11-04,650,2840,98,627,26,64,94,265,641,1403,1900,966,295,73
455611,L'Illusionniste,2010-06-16,701,2945,107,740,16,37,56,156,410,1024,1981,1426,479,146
384461,Cliffhanger - Traque au sommet,1993-05-20,586,608,54,628,51,107,239,537,1212,1872,1232,382,70,35
486980,Paycheck,2003-12-25,531,727,49,538,94,201,484,780,1331,1567,943,271,45,21
22265837,Tunnel,2016-08-10,677,4177,117,1152,18,16,61,154,414,1374,2489,1020,160,33
482704,Tuer n'est pas jouer,1987-06-30,621,743,78,960,18,31,109,352,1007,1988,1552,523,116,44
474618,Les Randonneurs,1997-03-12,526,363,20,355,107,194,455,811,1435,1671,868,174,24,5
497650,Un tramway nommé désir,1951-09-18,737,3553,63,1186,7,16,33,126,283,783,1729,1811,680,277
392130,1984,1984-10-10,633,3774,72,908,30,68,184,342,873,1576,1617,759,225,79
34313928,6 Underground,2019-12-13,501,564,132,602,226,314,587,827,1190,1366,872,282,66,26
11361643,Le BGG - Le Bon Gros Géant,2016-06-30,551,2567,148,992,75,151,344,713,1313,1659,1005,353,86,58
478117,L'Empire des sens,1976-09-15,649,3970,58,1081,62,97,203,349,709,1296,1522,1032,335,156
19460156,Sound of Metal,2020-11-20,740,5805,83,1196,3,1,15,23,132,611,2017,2254,586,120
39231486,Chambre 212,2019-10-09,631,2053,90,870,33,65,179,371,771,1328,1803,949,217,50
450418,"Balto : Chien-loup, héros des neiges",1995-12-22,670,560,27,633,19,31,67,190,572,1356,1952,1059,335,186
383366,La Cérémonie,1995-08-30,737,2537,78,1015,15,26,43,101,271,718,1864,1895,650,189
414812,Solaris,2002-11-27,578,2304,83,747,101,174,295,619,1067,1562,1231,519,160,53
